team_unique,team_colour,logo_path
Adelaide Rams,#0c1469,images/logos/Adelaide Rams.png
Annandale,#faa21a,images/logos/Annandale.png
Balmain Tigers,#ed771e,images/logos/Balmain Tigers.png
Brisbane Broncos,#fbe051,images/logos/Brisbane Broncos.png
Canberra Raiders,#95c94a,images/logos/Canberra Raiders.png
Canterbury Bankstown Bulldogs,#02488c,images/logos/Canterbury Bankstown Bulldogs.png
Cronulla Sutherland Sharks,#6ee2e0,images/logos/Cronulla Sutherland Sharks.png
Cumberland,#fffc01,images/logos/Cumberland.png
Dolphins,#f0d0a2,images/logos/Dolphins.png
Glebe,#8f1836,images/logos/Glebe.png
Gold Coast Chargers,#039690,images/logos/Gold Coast Chargers.png
Gold Coast Seagulls,#cc0629,images/logos/Gold Coast Seagulls.png
Gold Coast Titans,#1e90ff,images/logos/Gold Coast Titans.png
Gold Coast/Tweed Heads Giants,#848484,images/logos/Gold Coast Giants.png
Hunter Mariners,#161b6c,images/logos/Hunter Mariners.png
Illawarra Steelers,#c30006,images/logos/Illawarra Steelers.png
Manly Warringah Sea Eagles,#6f163d,images/logos/Manly Warringah Sea Eagles.png
Melbourne Storm,#632390,images/logos/Melbourne Storm.png
New Zealand Warriors,#05a655,images/logos/New Zealand Warriors.png
Newcastle,#256cb3,images/logos/Newcastle.png
Newcastle Knights,#256cb3,images/logos/Newcastle Knights.png
Newtown Jets,#014fa2,images/logos/Newtown Jets.png
North Queensland Cowboys,#002b5c,images/logos/North Queensland Cowboys.png
North Sydney Bears,#fa0001,images/logos/North Sydney Bears.png
Northern Eagles,#6f163d,images/logos/Northern Eagles.png
Parramatta Eels,#e6b123,images/logos/Parramatta Eels.png
Penrith Panthers,#1c1d1f,images/logos/Penrith Panthers.png
South Queensland Crushers,#dd9e4e,images/logos/South Queensland Crushers.png
South Sydney Rabbitohs,#074e16,images/logos/South Sydney Rabbitohs.png
St George Dragons,#f36c6c,images/logos/St George Dragons.png
St George Illawarra Dragons,#f36c6c,images/logos/St George Illawarra Dragons.png
Sydney Roosters,#cb2022,images/logos/Sydney Roosters.png
University,#ffdd43,images/logos/University.png
Western Reds,#e51f2e,images/logos/Western Reds.png
Western Suburbs Magpies,#FFFFFF,images/logos/Western Suburbs Magpies.png
Wests Tigers,#ed771e,images/logos/Wests Tigers.png
