team_short,team_name,team_mascots,team_abbr
Brisbane,Brisbane Broncos (W),Broncos,BRI
Canberra,Canberra Raiders (W),Raiders,CAN
Cronulla,Cronulla Sharks (W),Sharks,CRO
Gold Coast,Gold Coast Titans (W),Titans,GCT
New Zealand,New Zealand Warriors (W),Warriors,NZW
Newcastle,Newcastle Knights (W),Knights,KNI
North Qld,North Queensland Cowboys (W),Cowboys,NQC
Parramatta,Parramatta Eels (W),Eels,PAR
St Geo Illa,St George Illawarra Dragons (W),Dragons,SGI
Sydney,Sydney Roosters (W),Roosters,SYD
Wests Tigers,Wests Tigers (W),Tigers,WES
