team_name,team_colour,logo_path
Brisbane Broncos (W),#fbe051,images/logos/Brisbane Broncos.png
Canberra Raiders (W),#95c94a,images/logos/Canberra Raiders.png
Cronulla Sharks (W),#6ee2e0,images/logos/Cronulla Sutherland Sharks.png
Gold Coast Titans (W),#1e90ff,images/logos/Gold Coast Titans.png
New Zealand Warriors (W),#05a655,images/logos/New Zealand Warriors.png
Newcastle Knights (W),#256cb3,images/logos/Newcastle Knights.png
North Queensland Cowboys (W),#002b5c,images/logos/North Queensland Cowboys.png
Parramatta Eels (W),#e6b123,images/logos/Parramatta Eels.png
St George Illawarra Dragons (W),#f36c6c,images/logos/St George Illawarra Dragons.png
Sydney Roosters (W),#cb2022,images/logos/Sydney Roosters.png
Wests Tigers (W),#ed771e,images/logos/Wests Tigers.png
