,ref_id,ref_name
0,42099,Billy Thompson (Huddersfield)
0,42100,Kevin Steel
0,10679,Kevin Roberts
0,42102,Barry Gomersall
0,42103,Don Wilson
0,42104,John Gocher
0,42105,Robin Whitfield (Widnes)
0,42095,Mick Stone
0,42098,Greg McCallum
0,42061,David Manson
0,42077,Bill Harrigan
0,42071,Eddie Ward
0,42078,Graham Annesley
0,42081,Kelvin Jeffes
0,42076,Steve Clark
0,42074,Sean Hampstead
0,42073,Paul Simpkins
0,42087,Shayne Hayne
0,42083,Tony Archer
0,42135,Jared Maxwell
0,42134,Ben Cummins (Cairns)
0,42086,Matt Cecchin
0,42116,Ashley Klein (Bathurst)
0,42376,Gerard Sutton (Coonabarabran)
